Month,Total Employment,,,,,,,
Feb-00,"1,017,400",,,,,,,
Mar-00,"1,032,000",,,,,,,
Apr-00,"1,033,000",,,,,,,
May-00,"1,047,200",,,,,,,
Jun-00,"1,063,300",,,,,,,
Jul-00,"1,069,200",,,,,,,
Aug-00,"1,070,900",,,,,,,
Sep-00,"1,073,300",,,,,,,
Oct-00,"1,074,500",,,,,,,
Nov-00,"1,080,700",,,,,,,
Dec-00,"1,089,800",,,,,,,
Jan-01,"1,062,600",,,,,,,
Feb-01,"1,066,100",,,,,,,
Mar-01,"1,071,400",,,,,,,
Apr-01,"1,053,900",,,,,,,
May-01,"1,049,900",,,,,,,
Jun-01,"1,047,900",,,,,,,
Jul-01,"1,026,900",,,,,,,
Aug-01,"1,015,900",,,,,,,
Sep-01,"999,100",,,,,,,
Oct-01,"988,200",,,,,,,
Nov-01,"978,800",,,,,,,
Dec-01,"975,500",,,,,,,
Jan-02,"940,900",,,,,,,
Feb-02,"942,300",,,,,,,
Mar-02,"947,900",,,,,,,
Apr-02,"938,600",,,,,,,
May-02,"937,700",,,,,,,
Jun-02,"937,100",,,,,,,
Jul-02,"928,000",,,,,,,
Aug-02,"921,400",,,,,,,
Sep-02,"913,300",,,,,,,
Oct-02,"912,500",,,,,,,
Nov-02,"907,700",,,,,,,
Dec-02,"903,600",,,,,,,
Jan-03,"883,000",,,,,,,
Feb-03,"882,100",,,,,,,
Mar-03,"883,700",,,,,,,
Apr-03,"886,200",,,,,,,
May-03,"886,900",,,,,,,
Jun-03,"889,000",,,,,,,
Jul-03,"879,800",,,,,,,
Aug-03,"878,000",,,,,,,
Sep-03,"876,300",,,,,,,
Oct-03,"878,600",,,,,,,
Nov-03,"878,600",,,,,,,
Dec-03,"880,200",,,,,,,
Jan-04,"860,800",,,,,,,
Feb-04,"865,600",,,,,,,
Mar-04,"871,400",,,,,,,
Apr-04,"872,000",,,,,,,
May-04,"877,800",,,,,,,
Jun-04,"883,500",,,,,,,
Jul-04,"876,400",,,,,,,
Aug-04,"876,500",,,,,,,
Sep-04,"874,700",,,,,,,
Oct-04,"882,300",,,,,,,
Nov-04,"883,500",,,,,,,
Dec-04,"885,400",,,,,,,
Jan-05,"868,200",,,,,,,
Feb-05,"871,900",,,,,,,
Mar-05,"875,800",,,,,,,
Apr-05,"877,500",,,,,,,
May-05,"881,300",,,,,,,
Jun-05,"888,100",,,,,,,
Jul-05,"885,700",,,,,,,
Aug-05,"888,100",,,,,,,
Sep-05,"887,400",,,,,,,
Oct-05,"893,300",,,,,,,
Nov-05,"895,700",,,,,,,
Dec-05,"900,600",,,,,,,
Jan-06,"885,500",,,,,,,
Feb-06,"893,400",,,,,,,
Mar-06,"897,100",,,,,,,
Apr-06,"898,300",,,,,,,
May-06,"905,700",,,,,,,
Jun-06,"911,700",,,,,,,
Jul-06,"909,500",,,,,,,
Aug-06,"911,800",,,,,,,
Sep-06,"912,100",,,,,,,
Oct-06,"913,800",,,,,,,
Nov-06,"916,300",,,,,,,
Dec-06,"921,000",,,,,,,
Jan-07,"906,500",,,,,,,
Feb-07,"912,800",,,,,,,
Mar-07,"919,200",,,,,,,
Apr-07,"917,500",,,,,,,
May-07,"925,200",,,,,,,
Jun-07,"933,900",,,,,,,
Jul-07,"934,600",,,,,,,
Aug-07,"932,800",,,,,,,
Sep-07,"931,600",,,,,,,
Oct-07,"937,700",,,,,,,
Nov-07,"940,700",,,,,,,
Dec-07,"941,200",,,,,,,
Jan-08,"926,800",,,,,,,
Feb-08,"930,700",,,,,,,
Mar-08,"934,500",,,,,,,
Apr-08,"933,500",,,,,,,
May-08,"937,500",,,,,,,
Jun-08,"941,100",,,,,,,
Jul-08,"936,400",,,,,,,
Aug-08,"940,300",,,,,,,
Sep-08,"938,600",,,,,,,
Oct-08,"933,900",,,,,,,
Nov-08,"928,500",,,,,,,
Dec-08,"923,700",,,,,,,
Jan-09,"897,500",,,,,,,
Feb-09,"889,100",,,,,,,
Mar-09,"885,500",,,,,,,
Apr-09,"880,300",,,,,,,
May-09,"881,000",,,,,,,
Jun-09,"881,700",,,,,,,
Jul-09,"859,000",,,,,,,
Aug-09,"863,000",,,,,,,
Sep-09,"865,600",,,,,,,
Oct-09,"872,500",,,,,,,
Nov-09,"873,800",,,,,,,
Dec-09,"872,700",,,,,,,
Jan-10,"857,400",,,,,,,
Feb-10,"859,100",,,,,,,
Mar-10,"863,600",,,,,,,
Apr-10,"870,800",,,,,,,
May-10,"877,800",,,,,,,
Jun-10,"880,200",,,,,,,
Jul-10,"869,500",,,,,,,
Aug-10,"870,400",,,,,,,
Sep-10,"874,400",,,,,,,
Oct-10,"885,900",,,,,,,
Nov-10,"888,900",,,,,,,
Dec-10,"890,100",,,,,,,
Jan-11,"875,900",,,,,,,
Feb-11,"881,500",,,,,,,
Mar-11,"885,000",,,,,,,
Apr-11,"889,200",,,,,,,
May-11,"892,800",,,,,,,
Jun-11,"898,600",,,,,,,
Jul-11,"889,700",,,,,,,
Aug-11,"893,300",,,,,,,
Sep-11,"899,600",,,,,,,
Oct-11,"908,300",,,,,,,
Nov-11,"910,200",,,,,,,
Dec-11,"912,500",,,,,,,
Jan-12,"899,500",,,,,,,
Feb-12,"906,000",,,,,,,
Mar-12,"912,600",,,,,,,
Apr-12,"922,000",,,,,,,
May-12,"927,600",,,,,,,
Jun-12,"936,500",,,,,,,
Jul-12,"926,200",,,,,,,
Aug-12,"931,900",,,,,,,
Sep-12,"936,000",,,,,,,
Oct-12,"945,900",,,,,,,
Nov-12,"950,100",,,,,,,
Dec-12,"952,800",,,,,,,
Jan-13,"938,600",,,,,,,
Feb-13,"947,300",,,,,,,
Mar-13,"951,800",,,,,,,
Apr-13,"957,300",,,,,,,
May-13,"963,500",,,,,,,
Jun-13,"969,600",,,,,,,
Jul-13,"959,400",,,,,,,
Aug-13,"969,100",,,,,,,
Sep-13,"972,700",,,,,,,
Oct-13,"980,300",,,,,,,
Nov-13,"989,000",,,,,,,
Dec-13,"991,500",,,,,,,
Jan-14,"979,600",,,,,,,
Feb-14,"987,500",,,,,,,
Mar-14,"993,100",,,,,,,
Apr-14,"998,300",,,,,,,
May-14,"1,004,400",,,,,,,
Jun-14,"1,010,400",,,,,,,
Jul-14,"1,001,800",,,,,,,
Aug-14,"1,011,400",,,,,,,
Sep-14,"1,015,300",,,,,,,
Oct-14,"1,024,000",,,,,,,
Nov-14,"1,028,100",,,,,,,
Dec-14,"1,030,500",,,,,,,
Jan-15,"1,019,000",,,,,,,
Feb-15,"1,025,100",,,,,,,
Mar-15,"1,030,200",,,,,,,
Apr-15,"1,036,700",,,,,,,
May-15,"1,044,300",,,,,,,
Jun-15,"1,050,600",,,,,,,
Jul-15,"1,050,900",,,,,,,
Aug-15,"1,055,800",,,,,,,
Sep-15,"1,055,100",,,,,,,
Oct-15,"1,065,600",,,,,,,
Nov-15,"1,071,700",,,,,,,
Dec-15,"1,073,100",,,,,,,
Jan-16,"1,057,600",,,,,,,
,,,,,,,,
Employment for the San Jose-Sunnyvale-Santa Clara MSA,,,,,,,,
,,,,,,,,
Source: California Employment Development Department,,,,,,,,
"As of January 22, 2016",,,,,,,,
Based on March 2015 Benchmark,,,,,,,,
